CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
     0416820   ;SARTORI VALPOLICELLA SUPERIORE RADOLE 75                                ;7,26                   
     0214738   ;CAVIT ACCENTO SPUMANTE BRUT CL.75                                       ;4,56                   
     0054331   ;CAVIT SPUM.MULLER THURGAU T750                                          ;4,50                   
     0248117   ;COL SOLIVO PROSECCO  CL75                                               ;4,58                   
     0538534   ;FELIX GHIOTTONERIE CONIGL/AGNELLO G85X4                                 ;2,30                   
     0549174   ;FELIX GHIOTTONERIE DOUBLY CARNE G85X4                                   ;2,30                   
     0549175   ;FELIX GHIOTTONERIE DOUBLY PESCE G85X4                                   ;2,30                   
     0528073   ;FELIX GHIOTTONERIE JUNIOR G85X4                                         ;2,30                   
     0538535   ;FELIX GHIOTTONERIE MANZ/POLLO/VERD G85X4                                ;2,30                   
     0528071   ;FELIX GHIOTTONERIE MANZO/POLLO G85X4                                    ;2,30                   
     0538533   ;FELIX GHIOTTONERIE SALM/TONNO G85X4                                     ;2,30                   
     0528072   ;FELIX GHIOTTONERIE SALM/TROTA/VERD.G85X4                                ;2,30                   
     0529102   ;FELIX SENS.JELLIES ANATRA/AGNELLO G85X4                                 ;2,30                   
     0528075   ;FELIX SENSAT.EXTRAS MANZO/POLLO G85X4                                   ;2,30                   
     0528076   ;FELIX SENSAT.EXTRAS SALMONE/TONNO G85X4                                 ;2,30                   
     0528116   ;FELIX SENSATIONS JELLY MANZO/POLLO G85X4                                ;2,30                   
     0538613   ;FELIX SENSATIONS SALMONE/TROTA G85X4                                    ;2,30                   
     0528074   ;FELIX SENSATIONS SAUCE TACCH/MANZO G85X4                                ;2,30                   
     0549831   ;KITEKAT NAT.VITALITY MANZO IN SALSA G85                                 ;0.39
     0549832   ;KITEKAT NAT.VITALITY POLLO IN SALSA G85                                 ;0.39
     0549830   ;KITEKAT NAT.VITALITY SALMON.IN SALSA G85                                ;0.39
     0551886   ;CHANTECLAIR DET.LIQ.BICARBONATO 28 LAV.                                 ;2.99
     0555848   ;CHANTECLAIR DET.LIQ.PULIT.PROFONDO 28LAV                                ;2.99
     0536089   ;CHANTECLAIR LAV MUSCHIO BIANCO 28L 1,26L                                ;2.99
     0537842   ;CHANTECLAIR LAV.MARSIGLIA 28L 1,26L                                     ;2.99
     0543683   ;ACE GENTILE CANDEGG.FRESCO PROFUMO LT2,3                                ;3,76                   
     0543682   ;ACE GENTILE CANDEGG.LAVAND/MUSCHIO LT2,3                                ;3,76                   
     0505273   ;CHANTECLAIR AMM.CON.SAL-LOTO LT1.14LAV57                                ;2,69                   
     0549696   ;CHANTECLAIR AMM.CONC.C.MIX LT1.14 LAV.57                                ;2,69                   
     0505270   ;CHANTECLAIR AMM.CONC.MUS.BIA LT1.14LAV57                                ;2,69                   
     0573895   ;LENOR AMM.AMETIST.ROSA MUSCHIO 42 LAV                                   ;4,06                   
     0577274   ;LENOR AMM.ESSENZE ITALIA CAPRI 42 LAV                                   ;4,06                   
     0574452   ;LENOR AMM.ORO FIORI DI VANIGLIA 42 LAV                                  ;4,06                   
     0573923   ;LENOR AMM.RISVEGLIO PRIMAVERILE 42 LAV                                  ;4,06                   
     0511803   ;VANISH OXI ACTION GEL BIANCO 750ML                                      ;4,97                   
     0510162   ;VANISH OXI ACTION GEL ROSA 750ML                                        ;4,97                   
     0510163   ;VANISH OXI ACTION POLV. BIANCO G500                                     ;4,97                   
     0510161   ;VANISH OXI ACTION POLV. ROSA G500                                       ;4,97                   
     0244559   ;CIF CREMA AMMONIACAL  500 ML.                                           ;2,06                   
     0075419   ;CIF CREMA CON CANDEGGINA ML.500                                         ;2,06                   
     0047103   ;CIF CREMA LIMONE ML.500                                                 ;2,06                   
     0048478   ;SPONTEX SPUGNA DOPPIO USO PZ.2                                          ;1,45                   
     0485156   ;REGINA ASCIUGONI  2V X2 ROTOLI                                          ;2,98                   
     0533638   ;FOXY MEGA CARTA IGIENICA 2V X 4                                         ;2,69                   
     0143723   ;REGINA CAMOMILLA IGIENICA 3V X6 ST300                                   ;5,51                   
     0507752   ;SCOTTEX FAZZOLETTI 4V TUTTI I GIORNI X12                                ;2,06                   
     0466331   ;INFASIL DEO SPRAY EXTRA DELICATO ML.150                                 ;2,95                   
     0467759   ;INFASIL DEO SPRAY FRESCHEZ.NATUR.ML.150                                 ;2,95                   
